origin_id,dest_id,rank,time_sum,len_sum,overlap_factor,edge_car_cids
1116,6598,1,3.33,3534.036,0.224242,8533;4569;1539;1540;1541;1542;344;1901;1902;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;8535
1116,6598,2,3.356,3561.061,0.254167,8533;4569;1539;1540;1541;1542;344;1901;1902;1854;1855;1856;1857;1728;1574;1731;1859;1860;1861;1862;1863;1864;1865;8535
1116,6598,3,3.365,3581.097,0.240278,8533;4569;1539;1540;1541;1542;344;1901;1902;1854;1855;1856;1857;1858;1859;1860;1861;1862;8286;8287;677;1864;1865;8535
1116,6599,1,4.466,4475.522,0.21859,8533;4569;1539;1540;1541;1542;344;1901;1902;1854;1855;1856;1857;1858;1859;1860;432;433;434;435;436;1337;1472;1473;1474;8534
1116,6599,2,4.492,4502.546,0.226786,8533;4569;1539;1540;1541;1542;344;1901;1902;1854;1855;1856;1857;1728;1574;1731;1859;1860;432;433;434;435;436;1337;1472;1473;1474;8534
1116,6599,3,4.541,4575.861,0.261667,8533;4569;1539;1540;1541;1542;344;1901;1902;1854;1855;1856;1857;1858;1859;1860;1861;1862;8286;8257;8258;433;434;435;436;1337;1472;1473;1474;8534
1116,6634,1,5.038,4238.737,0.215517,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;2546;7298;7341;7342;8545
1116,6634,2,5.074,4269.431,0.255376,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;7877;8000;7879;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;2546;7298;7341;7342;8545
1116,6634,3,5.113,4301.225,0.255376,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;7877;7878;7879;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;2546;7298;7341;7342;8545
1116,6635,1,5.598,4702.918,0.21954,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;2546;7335;7336;7296;8544
1116,6635,2,5.6,4717.194,0.232258,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;2546;7298;7341;7342;7332;7296;8544
1116,6635,3,5.627,4726.529,0.243011,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;2546;7298;7341;2536;7336;7296;8544
1116,6638,1,8.401,6993.116,0.218519,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;242;243;244;2687;2688;2689;2690;6365;6366;6367;2714;2715;2716;2717;2718;2703;2704;6415;6416;6451;8519
1116,6638,2,8.437,7023.81,0.223404,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;7877;8000;7879;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;242;243;244;2687;2688;2689;2690;6365;6366;6367;2714;2715;2716;2717;2718;2703;2704;6415;6416;6451;8519
1116,6638,3,8.438,7026.358,0.233333,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;4582;4583;4584;4585;4586;4587;4588;239;240;241;242;243;244;2687;2688;2689;2690;6365;6366;6367;2714;2715;2716;6401;6402;6413;6414;6415;6416;6451;8519
1116,6639,1,6.097,4563.071,0.263889,8533;4569;4570;4571;4572;4573;4574;1881;1882;1883;1884;1885;1886;2454;4045;4044;4042;4482;4483;4484;2710;2711;7871;8570
1116,6639,2,6.101,4565.697,0.277778,8533;4569;4570;4571;4572;4573;4574;1881;1882;1883;1884;1885;1886;2454;4045;4044;4042;4482;4483;4484;2710;4047;4028;8570
1116,6639,3,6.134,4716.153,0.289855,8533;4569;4570;4571;4572;4573;4574;1881;1882;1883;1884;2519;2520;4474;324;325;326;4483;4484;2710;2711;7871;8570
1116,6643,1,4.192,3457.409,0.427778,8533;4569;4570;4571;4572;4573;4574;1881;1882;1883;1884;2519;2520;4474;324;325;2452;8532
1116,6643,2,4.44,3950.452,0.294928,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;4578;4579;4580;4581;359;320;321;322;323;324;325;2452;8532
1116,6643,3,4.477,3981.146,0.311333,8533;4569;4570;4571;4572;4573;4574;4575;4576;4577;7877;8000;7879;4579;4580;4581;359;320;321;322;323;324;325;2452;8532
1116,6644,1,4.311,3350.28,0.258824,8533;4569;4570;1520;4602;4603;4604;2441;2442;2443;2430;2431;8270;8271;3208;3209;8567
1116,6644,2,4.313,3351.923,0.264583,8533;4569;4570;1520;4602;4603;4604;2441;2442;2443;2430;2431;2432;2433;599;8567
